# Created by CAVA2.0.11 based on MANE release 1.1
GENEID	SYMBOL	Transcript	Protein
THRAP3	THRAP3	NM_005119.4	NP_005110.2
SH3D21	SH3D21	NM_001162530.2	NP_001156002.1
EVA1B	EVA1B	NM_001304762.2	NP_001291691.1
STK40	STK40	NM_001282547.2	NP_001269476.1
LSM10	LSM10	NM_032881.3	NP_116270.1
OSCP1	OSCP1	NM_145047.5	NP_659484.4
MRPS15	MRPS15	NM_031280.4	NP_112570.2
CSF3R	CSF3R	NM_000760.4	NP_000751.1
GRIK3	GRIK3	NM_000831.4	NP_000822.2
ZC3H12A	ZC3H12A	NM_025079.3	NP_079355.2
MEAF6	MEAF6	NM_001270875.3	NP_001257804.1
SNIP1	SNIP1	NM_024700.4	NP_078976.2
DNALI1	DNALI1	NM_003462.5	NP_003453.3
GNL2	GNL2	NM_013285.3	NP_037417.1
RSPO1	RSPO1	NM_001242908.2	NP_001229837.1
C1orf109	C1orf109	NM_001350770.2	NP_001337699.1
CDCA8	CDCA8	NM_001256875.2	NP_001243804.1
EPHA10	EPHA10	NM_001099439.2	NP_001092909.1
MANEAL	MANEAL	NM_001113482.2	NP_001106954.1
YRDC	YRDC	NM_024640.4	NP_078916.3
C1orf122	C1orf122	NM_198446.3	NP_940848.2
MTF1	MTF1	NM_005955.3	NP_005946.2
INPP5B	INPP5B	NM_005540.3	NP_005531.2
SF3A3	SF3A3	NM_006802.4	NP_006793.1
FHL3	FHL3	NM_004468.5	NP_004459.2
UTP11	UTP11	NM_016037.4	NP_057121.2
POU3F1	POU3F1	NM_002699.4	NP_002690.3
RRAGC	RRAGC	NM_022157.4	NP_071440.1
MYCBP	MYCBP	NM_012333.5	NP_036465.2
GJA9	GJA9	NM_030772.5	NP_110399.2
RHBDL2	RHBDL2	NM_017821.5	NP_060291.2
AKIRIN1	AKIRIN1	NM_024595.3	NP_078871.1
NDUFS5	NDUFS5	NM_004552.3	NP_004543.1
MACF1	MACF1	NM_001394062.1	NP_001380991.1
BMP8A	BMP8A	NM_181809.4	NP_861525.2
PABPC4	PABPC4	NM_001135653.2	NP_001129125.1
HEYL	HEYL	NM_014571.4	NP_055386.2
NT5C1A	NT5C1A	NM_032526.3	NP_115915.1
HPCAL4	HPCAL4	NM_016257.4	NP_057341.1
PPIE	PPIE	NM_006112.4	NP_006103.1
BMP8B	BMP8B	NM_001720.5	NP_001711.2
OXCT2	OXCT2	NM_022120.2	NP_071403.1
TRIT1	TRIT1	NM_017646.6	NP_060116.2
MYCL	MYCL	NM_001033081.3	NP_001028253.1
MFSD2A	MFSD2A	NM_032793.5	NP_116182.2
CAP1	CAP1	NM_006367.4	NP_006358.2
PPT1	PPT1	NM_000310.4	NP_000301.1
RLF	RLF	NM_012421.4	NP_036553.2
TMCO2	TMCO2	NM_001008740.4	NP_001008740.1
ZMPSTE24	ZMPSTE24	NM_005857.5	NP_005848.2
COL9A2	COL9A2	NM_001852.4	NP_001843.1
SMAP2	SMAP2	NM_022733.3	NP_073570.1
ZFP69B	ZFP69B	NM_023070.3	NP_075558.2
ZFP69	ZFP69	NM_001320179.2	NP_001307108.1
EXO5	EXO5	NM_001346953.2	NP_001333882.1
ZNF684	ZNF684	NM_152373.4	NP_689586.3
RIMS3	RIMS3	NM_014747.3	NP_055562.2
NFYC	NFYC	NM_014223.5	NP_055038.2
KCNQ4	KCNQ4	NM_004700.4	NP_004691.2
CITED4	CITED4	NM_133467.3	NP_597724.1
CTPS1	CTPS1	NM_001905.4	NP_001896.2
SLFNL1	SLFNL1	NM_144990.4	NP_659427.3
SCMH1	SCMH1	NM_001394311.1	NP_001381240.1
EDN2	EDN2	NM_001956.5	NP_001947.1
HIVEP3	HIVEP3	NM_024503.5	NP_078779.2
GUCA2B	GUCA2B	NM_007102.3	NP_009033.1
GUCA2A	GUCA2A	NM_033553.3	NP_291031.2
FOXJ3	FOXJ3	NM_014947.5	NP_055762.3
RIMKLA	RIMKLA	NM_173642.4	NP_775913.2
ZMYND12	ZMYND12	NM_032257.5	NP_115633.3
CCDC30	CCDC30	NM_001395517.1	NP_001382446.1
PPCS	PPCS	NM_024664.4	NP_078940.2
PPIH	PPIH	NM_006347.4	NP_006338.1
YBX1	YBX1	NM_004559.5	NP_004550.2
CLDN19	CLDN19	NM_148960.3	NP_683763.2
P3H1	P3H1	NM_022356.4	NP_071751.3
C1orf50	C1orf50	NM_024097.4	NP_077002.2
TMEM269	TMEM269	NM_001354602.2	NP_001341531.2
SVBP	SVBP	NM_199342.4	NP_955374.1
ERMAP	ERMAP	NM_001017922.2	NP_001017922.1
ZNF691	ZNF691	NM_001242739.2	NP_001229668.1
SLC2A1	SLC2A1	NM_006516.4	NP_006507.2
CFAP144	CFAP144	NM_001101376.3	NP_001094846.2
EBNA1BP2	EBNA1BP2	NM_006824.3	NP_006815.2
CFAP57	CFAP57	NM_001378189.1	NP_001365118.1
TMEM125	TMEM125	NM_144626.3	NP_653227.1
C1orf210	C1orf210	NM_182517.3	NP_872323.1
TIE1	TIE1	NM_005424.5	NP_005415.1
MPL	MPL	NM_005373.3	NP_005364.1
CDC20	CDC20	NM_001255.3	NP_001246.2
ELOVL1	ELOVL1	NM_022821.4	NP_073732.1
MED8	MED8	NM_201542.5	NP_963836.2
SZT2	SZT2	NM_001365999.1	NP_001352928.1
HYI	HYI	NM_001190880.3	NP_001177809.1
PTPRF	PTPRF	NM_002840.5	NP_002831.2
KDM4A	KDM4A	NM_014663.3	NP_055478.2
ST3GAL3	ST3GAL3	NM_006279.5	NP_006270.1
ARTN	ARTN	NM_057091.3	NP_476432.2
IPO13	IPO13	NM_014652.4	NP_055467.3
DPH2	DPH2	NM_001384.5	NP_001375.2
ATP6V0B	ATP6V0B	NM_004047.5	NP_004038.1
B4GALT2	B4GALT2	NM_003780.5	NP_003771.1
CCDC24	CCDC24	NM_152499.4	NP_689712.1
SLC6A9	SLC6A9	NM_001024845.3	NP_001020016.1
KLF17	KLF17	NM_173484.4	NP_775755.3
KLF18	KLF18	NM_001358438.1	NP_001345367.1
DMAP1	DMAP1	NM_019100.5	NP_061973.1
ERI3	ERI3	NM_024066.3	NP_076971.1
RNF220	RNF220	NM_018150.4	NP_060620.2
TMEM53	TMEM53	NM_024587.4	NP_078863.2
ARMH1	ARMH1	NM_001145636.2	NP_001139108.1
KIF2C	KIF2C	NM_006845.4	NP_006836.2
RPS8	RPS8	NM_001012.2	NP_001003.1
BEST4	BEST4	NM_153274.3	NP_695006.1
PLK3	PLK3	NM_004073.4	NP_004064.2
DYNLT4	DYNLT4	NM_001377534.1	NP_001364463.1
BTBD19	BTBD19	NM_001136537.3	NP_001130009.1
PTCH2	PTCH2	NM_003738.5	NP_003729.3
EIF2B3	EIF2B3	NM_020365.5	NP_065098.1
HECTD3	HECTD3	NM_024602.6	NP_078878.3
UROD	UROD	NM_000374.5	NP_000365.3
ZSWIM5	ZSWIM5	NM_020883.2	NP_065934.1
HPDL	HPDL	NM_032756.4	NP_116145.1
MUTYH	MUTYH	NM_001048174.2	NP_001041639.1
TOE1	TOE1	NM_025077.4	NP_079353.3
TESK2	TESK2	NM_007170.3	NP_009101.2
CCDC163	CCDC163	NM_001102601.3	NP_001096071.1
MMACHC	MMACHC	NM_015506.3	NP_056321.2
PRDX1	PRDX1	NM_181697.3	NP_859048.1
AKR1A1	AKR1A1	NM_153326.3	NP_697021.1
NASP	NASP	NM_002482.4	NP_002473.2
CCDC17	CCDC17	NM_001114938.3	NP_001108410.2
GPBP1L1	GPBP1L1	NM_021639.5	NP_067652.1
TMEM69	TMEM69	NM_016486.4	NP_057570.2
IPP	IPP	NM_005897.3	NP_005888.1
MAST2	MAST2	NM_015112.3	NP_055927.2
PIK3R3	PIK3R3	NM_003629.4	NP_003620.3
TSPAN1	TSPAN1	NM_005727.4	NP_005718.2
P3R3URF	P3R3URF	NM_001328655.2	NP_001315584.1
POMGNT1	POMGNT1	NM_017739.4	NP_060209.4
LURAP1	LURAP1	NM_001013615.3	NP_001013633.1
RAD54L	RAD54L	NM_003579.4	NP_003570.2
LRRC41	LRRC41	NM_006369.5	NP_006360.3
UQCRH	UQCRH	NM_006004.4	NP_005995.2
NSUN4	NSUN4	NM_199044.4	NP_950245.2
FAAH	FAAH	NM_001441.3	NP_001432.2
DMBX1	DMBX1	NM_172225.2	NP_757379.1
TMEM275	TMEM275	NM_001396071.1	NP_001383000.1
KNCN	KNCN	NM_001322255.2	NP_001309184.1
MKNK1	MKNK1	NM_001135553.4	NP_001129025.2
MOB3C	MOB3C	NM_201403.3	NP_958805.1
ATPAF1	ATPAF1	NM_001394565.1	NP_001381494.1
TEX38	TEX38	NM_001145474.4	NP_001138946.1
EFCAB14	EFCAB14	NM_014774.3	NP_055589.1
CYP4B1	CYP4B1	NM_001099772.2	NP_001093242.1
CYP4A11	CYP4A11	NM_000778.4	NP_000769.2
CYP4X1	CYP4X1	NM_178033.2	NP_828847.1
CYP4Z1	CYP4Z1	NM_178134.3	NP_835235.1
CYP4A22	CYP4A22	NM_001010969.4	NP_001010969.2
PDZK1IP1	PDZK1IP1	NM_005764.4	NP_005755.1
TAL1	TAL1	NM_001290403.2	NP_001277332.1
STIL	STIL	NM_001048166.1	NP_001041631.1
CMPK1	CMPK1	NM_016308.3	NP_057392.1
FOXE3	FOXE3	NM_012186.3	NP_036318.1
FOXD2	FOXD2	NM_004474.4	NP_004465.3
TRABD2B	TRABD2B	NM_001194986.2	NP_001181915.1
SLC5A9	SLC5A9	NM_001011547.3	NP_001011547.2
SPATA6	SPATA6	NM_019073.4	NP_061946.1
AGBL4	AGBL4	NM_032785.4	NP_116174.3
BEND5	BEND5	NM_024603.4	NP_078879.2
ELAVL4	ELAVL4	NM_001144774.3	NP_001138246.1
DMRTA2	DMRTA2	NM_032110.3	NP_115486.1
FAF1	FAF1	NM_007051.3	NP_008982.1
CDKN2C	CDKN2C	NM_078626.3	NP_523240.1
C1orf185	C1orf185	NM_001136508.2	NP_001129980.1
RNF11	RNF11	NM_014372.5	NP_055187.1
TTC39A	TTC39A	NM_001297663.2	NP_001284592.1
EPS15	EPS15	NM_001981.3	NP_001972.1
OSBPL9	OSBPL9	NM_024586.6	NP_078862.4
NRDC	NRDC	NM_001101662.2	NP_001095132.1
RAB3B	RAB3B	NM_002867.4	NP_002858.2
TXNDC12	TXNDC12	NM_015913.4	NP_056997.1
KTI12	KTI12	NM_138417.3	NP_612426.1
BTF3L4	BTF3L4	NM_152265.5	NP_689478.1
ZFYVE9	ZFYVE9	NM_004799.4	NP_004790.2
CC2D1B	CC2D1B	NM_001330585.2	NP_001317514.1
ORC1	ORC1	NM_004153.4	NP_004144.2
PRPF38A	PRPF38A	NM_032864.4	NP_116253.2
TUT4	TUT4	NM_001009881.3	NP_001009881.1
GPX7	GPX7	NM_015696.5	NP_056511.2
SHISAL2A	SHISAL2A	NM_001042693.3	NP_001036158.1
COA7	COA7	NM_023077.3	NP_075565.2
ZYG11B	ZYG11B	NM_024646.3	NP_078922.1
ZYG11A	ZYG11A	NM_001004339.3	NP_001004339.2
ECHDC2	ECHDC2	NM_001198961.2	NP_001185890.1
SCP2	SCP2	NM_002979.5	NP_002970.2
PODN	PODN	NM_153703.5	NP_714914.3
SLC1A7	SLC1A7	NM_006671.6	NP_006662.3
CPT2	CPT2	NM_000098.3	NP_000089.1
CZIB	CZIB	NM_017887.3	NP_060357.1
MAGOH	MAGOH	NM_002370.4	NP_002361.1
LRP8	LRP8	NM_004631.5	NP_004622.2
DMRTB1	DMRTB1	NM_033067.3	NP_149056.1
GLIS1	GLIS1	NM_001367484.1	NP_001354413.1
NDC1	NDC1	NM_018087.5	NP_060557.3
YIPF1	YIPF1	NM_018982.5	NP_061855.1
DIO1	DIO1	NM_000792.7	NP_000783.2
IFT25	IFT25	NM_016126.4	NP_057210.2
LRRC42	LRRC42	NM_001256409.2	NP_001243338.1
LDLRAD1	LDLRAD1	NM_001010978.4	NP_001010978.2
TMEM59	TMEM59	NM_004872.5	NP_004863.2
TCEANC2	TCEANC2	NM_153035.3	NP_694580.1
CDCP2	CDCP2	NM_001353655.3	NP_001340584.1
CYB5RL	CYB5RL	NM_001031672.4	NP_001026842.2
MRPL37	MRPL37	NM_016491.4	NP_057575.2
SSBP3	SSBP3	NM_145716.4	NP_663768.1
ACOT11	ACOT11	NM_147161.4	NP_671517.1
FAM151A	FAM151A	NM_176782.3	NP_788954.2
MROH7	MROH7	NM_001039464.4	NP_001034553.3
TTC4	TTC4	NM_004623.5	NP_004614.3
PARS2	PARS2	NM_152268.4	NP_689481.2
TTC22	TTC22	NM_001114108.2	NP_001107580.1
LEXM	LEXM	NM_001110533.2	NP_001104003.1
DHCR24	DHCR24	NM_014762.4	NP_055577.1
TMEM61	TMEM61	NM_182532.3	NP_872338.1
BSND	BSND	NM_057176.3	NP_476517.1
PCSK9	PCSK9	NM_174936.4	NP_777596.2
USP24	USP24	NM_015306.3	NP_056121.2
PLPP3	PLPP3	NM_003713.5	NP_003704.3
PRKAA2	PRKAA2	NM_006252.4	NP_006243.2
FYB2	FYB2	NM_001004303.5	NP_001004303.3
C8A	C8A	NM_000562.3	NP_000553.1
C8B	C8B	NM_000066.4	NP_000057.3
DAB1	DAB1	NM_001365792.1	NP_001352721.1
OMA1	OMA1	NM_145243.5	NP_660286.1
TACSTD2	TACSTD2	NM_002353.3	NP_002344.2
MYSM1	MYSM1	NM_001085487.3	NP_001078956.1
JUN	JUN	NM_002228.4	NP_002219.1
FGGY	FGGY	NM_018291.5	NP_060761.3
HOOK1	HOOK1	NM_015888.6	NP_056972.1
CYP2J2	CYP2J2	NM_000775.4	NP_000766.2
C1orf87	C1orf87	NM_152377.3	NP_689590.1
NFIA	NFIA	NM_001134673.4	NP_001128145.1
TM2D1	TM2D1	NM_032027.3	NP_114416.1
PATJ	PATJ	NM_001350145.3	NP_001337074.2
L1TD1	L1TD1	NM_019079.5	NP_061952.3
KANK4	KANK4	NM_181712.5	NP_859063.3
USP1	USP1	NM_003368.5	NP_003359.3
DOCK7	DOCK7	NM_001367561.1	NP_001354490.1
ANGPTL3	ANGPTL3	NM_014495.4	NP_055310.1
ATG4C	ATG4C	NM_032852.4	NP_116241.2
FOXD3	FOXD3	NM_012183.3	NP_036315.1
ALG6	ALG6	NM_013339.4	NP_037471.2
ITGB3BP	ITGB3BP	NM_014288.5	NP_055103.3
EFCAB7	EFCAB7	NM_032437.4	NP_115813.2
PGM1	PGM1	NM_002633.3	NP_002624.2
ROR1	ROR1	NM_005012.4	NP_005003.2
UBE2U	UBE2U	NM_001366232.2	NP_001353161.1
CACHD1	CACHD1	NM_020925.4	NP_065976.3
RAVER2	RAVER2	NM_001366165.2	NP_001353094.1
JAK1	JAK1	NM_002227.4	NP_002218.2
AK4	AK4	NM_013410.4	NP_037542.1
DNAJC6	DNAJC6	NM_001256864.2	NP_001243793.1
LEPR	LEPR	NM_002303.6	NP_002294.2
LEPROT	LEPROT	NM_017526.5	NP_059996.1
PDE4B	PDE4B	NM_002600.4	NP_002591.2
SGIP1	SGIP1	NM_032291.4	NP_115667.2
DYNLT5	DYNLT5	NM_152665.3	NP_689878.2
INSL5	INSL5	NM_005478.6	NP_005469.2
DNAI4	DNAI4	NM_024763.5	NP_079039.4
MIER1	MIER1	NM_001077700.3	NP_001071168.2
SLC35D1	SLC35D1	NM_015139.3	NP_055954.1
C1orf141	C1orf141	NM_001276351.2	NP_001263280.1
IL23R	IL23R	NM_144701.3	NP_653302.2
IL12RB2	IL12RB2	NM_001374259.2	NP_001361188.1
SERBP1	SERBP1	NM_001018069.2	NP_001018079.1
GADD45A	GADD45A	NM_001924.4	NP_001915.1
GNG12	GNG12	NM_018841.6	NP_061329.3
DIRAS3	DIRAS3	NM_004675.5	NP_004666.1
WLS	WLS	NM_024911.7	NP_079187.3
RPE65	RPE65	NM_000329.3	NP_000320.1
DEPDC1	DEPDC1	NM_001114120.3	NP_001107592.1
LRRC7	LRRC7	NM_001370785.2	NP_001357714.1
LRRC40	LRRC40	NM_017768.5	NP_060238.3
SRSF11	SRSF11	NM_001350605.2	NP_001337534.1
ANKRD13C	ANKRD13C	NM_030816.5	NP_110443.3
CTH	CTH	NM_001902.6	NP_001893.2
PTGER3	PTGER3	NM_198719.2	NP_942012.1
ZRANB2	ZRANB2	NM_203350.3	NP_976225.1
NEGR1	NEGR1	NM_173808.3	NP_776169.2
LRRIQ3	LRRIQ3	NM_001105659.2	NP_001099129.1
FPGT	FPGT	NM_003838.5	NP_003829.4
TNNI3K	TNNI3K	NM_015978.3	NP_057062.1
LRRC53	LRRC53	NM_001382280.1	NP_001369209.1
ERICH3	ERICH3	NM_001002912.5	NP_001002912.4
CRYZ	CRYZ	NM_001889.4	NP_001880.2
TYW3	TYW3	NM_138467.3	NP_612476.1
LHX8	LHX8	NM_001256114.2	NP_001243043.1
SLC44A5	SLC44A5	NM_001130058.2	NP_001123530.1
ACADM	ACADM	NM_000016.6	NP_000007.1
RABGGTB	RABGGTB	NM_004582.4	NP_004573.2
MSH4	MSH4	NM_002440.4	NP_002431.2
ASB17	ASB17	NM_080868.3	NP_543144.1
ST6GALNAC3	ST6GALNAC3	NM_152996.4	NP_694541.2
ST6GALNAC5	ST6GALNAC5	NM_030965.3	NP_112227.1
PIGK	PIGK	NM_005482.3	NP_005473.1
AK5	AK5	NM_174858.3	NP_777283.1
ZZZ3	ZZZ3	NM_015534.6	NP_056349.1
USP33	USP33	NM_201624.3	NP_963918.1
MIGA1	MIGA1	NM_001416120.1	NP_001403049.1
NEXN	NEXN	NM_144573.4	NP_653174.3
FUBP1	FUBP1	NM_003902.5	NP_003893.2
DNAJB4	DNAJB4	NM_007034.5	NP_008965.2
GIPC2	GIPC2	NM_017655.6	NP_060125.4
PTGFR	PTGFR	NM_000959.4	NP_000950.1
IFI44L	IFI44L	NM_006820.4	NP_006811.2
IFI44	IFI44	NM_006417.5	NP_006408.3
ADGRL4	ADGRL4	NM_022159.4	NP_071442.2
ADGRL2	ADGRL2	NM_001366006.2	NP_001352935.1
TTLL7	TTLL7	NM_024686.6	NP_078962.4
PRKACB	PRKACB	NM_182948.4	NP_891993.1
SAMD13	SAMD13	NM_001134663.2	NP_001128135.1
DNASE2B	DNASE2B	NM_021233.3	NP_067056.2
RPF1	RPF1	NM_025065.7	NP_079341.2
GNG5	GNG5	NM_005274.3	NP_005265.1
SPATA1	SPATA1	NM_001397487.1	NP_001384416.1
CTBS	CTBS	NM_004388.3	NP_004379.1
SSX2IP	SSX2IP	NM_001166293.2	NP_001159765.1
LPAR3	LPAR3	NM_012152.3	NP_036284.1
MCOLN2	MCOLN2	NM_153259.4	NP_694991.2
MCOLN3	MCOLN3	NM_018298.11	NP_060768.8
DNAI3	DNAI3	NM_145172.5	NP_660155.2
SYDE2	SYDE2	NM_032184.2	NP_115560.1
C1orf52	C1orf52	NM_198077.4	NP_932343.1
BCL10	BCL10	NM_003921.5	NP_003912.1
DDAH1	DDAH1	NM_012137.4	NP_036269.1
CCN1	CCN1	NM_001554.5	NP_001545.2
ZNHIT6	ZNHIT6	NM_017953.4	NP_060423.3
COL24A1	COL24A1	NM_152890.7	NP_690850.2
ODF2L	ODF2L	NM_001366781.1	NP_001353710.1
CLCA2	CLCA2	NM_006536.7	NP_006527.1
CLCA1	CLCA1	NM_001285.4	NP_001276.3
CLCA4	CLCA4	NM_012128.4	NP_036260.2
SH3GLB1	SH3GLB1	NM_016009.5	NP_057093.1
SELENOF	SELENOF	NM_004261.5	NP_004252.2
HS2ST1	HS2ST1	NM_012262.4	NP_036394.1
LMO4	LMO4	NM_006769.4	NP_006760.1
PKN2	PKN2	NM_006256.4	NP_006247.1
GTF2B	GTF2B	NM_001514.6	NP_001505.1
KYAT3	KYAT3	NM_001008661.3	NP_001008661.1
RBMXL1	RBMXL1	NM_001162536.3	NP_001156008.1
GBP3	GBP3	NM_018284.3	NP_060754.2
GBP1	GBP1	NM_002053.3	NP_002044.2
GBP2	GBP2	NM_004120.5	NP_004111.2
GBP7	GBP7	NM_207398.3	NP_997281.2
GBP4	GBP4	NM_052941.5	NP_443173.2
GBP5	GBP5	NM_052942.5	NP_443174.1
GBP6	GBP6	NM_198460.3	NP_940862.2
LRRC8B	LRRC8B	NM_001369817.2	NP_001356746.1
LOC128092251	LOC128092251	NM_001414942.1	NP_001401871.1
LRRC8C	LRRC8C	NM_032270.5	NP_115646.3
LRRC8D	LRRC8D	NM_001134479.2	NP_001127951.1
ZNF326	ZNF326	NM_182976.4	NP_892021.1
BARHL2	BARHL2	NM_020063.2	NP_064447.1
ZNF644	ZNF644	NM_201269.3	NP_958357.1
HFM1	HFM1	NM_001017975.6	NP_001017975.5
CDC7	CDC7	NM_003503.4	NP_003494.1
TGFBR3	TGFBR3	NM_003243.5	NP_003234.2
BRDT	BRDT	NM_207189.4	NP_997072.2
EPHX4	EPHX4	NM_173567.5	NP_775838.3
SETSIP	SETSIP	NM_001287737.2	NP_001274666.2
BTBD8	BTBD8	NM_001376131.1	NP_001363060.1
C1orf146	C1orf146	NM_001012425.2	NP_001012425.1
GLMN	GLMN	NM_053274.3	NP_444504.1
RPAP2	RPAP2	NM_024813.3	NP_079089.2
GFI1	GFI1	NM_005263.5	NP_005254.2
EVI5	EVI5	NM_001350197.2	NP_001337126.1
RPL5	RPL5	NM_000969.5	NP_000960.2
DIPK1A	DIPK1A	NM_001006605.5	NP_001006606.2
MTF2	MTF2	NM_007358.4	NP_031384.1
TMED5	TMED5	NM_016040.5	NP_057124.3
CCDC18	CCDC18	NM_001378204.1	NP_001365133.1
DR1	DR1	NM_001938.3	NP_001929.1
FNBP1L	FNBP1L	NM_001164473.3	NP_001157945.1
BCAR3	BCAR3	NM_003567.4	NP_003558.1
DNTTIP2	DNTTIP2	NM_014597.5	NP_055412.2
GCLM	GCLM	NM_002061.4	NP_002052.1
ABCA4	ABCA4	NM_000350.3	NP_000341.2
ARHGAP29	ARHGAP29	NM_004815.4	NP_004806.3
ABCD3	ABCD3	NM_002858.4	NP_002849.1
F3	F3	NM_001993.5	NP_001984.1
SLC44A3	SLC44A3	NM_001114106.3	NP_001107578.1
CNN3	CNN3	NM_001839.5	NP_001830.1
ALG14	ALG14	NM_144988.4	NP_659425.1
TLCD4	TLCD4	NM_152487.3	NP_689700.1
RWDD3	RWDD3	NM_015485.5	NP_056300.3
PTBP2	PTBP2	NM_021190.4	NP_067013.1
DPYD	DPYD	NM_000110.4	NP_000101.2
SNX7	SNX7	NM_015976.5	NP_057060.2
PLPPR5	PLPPR5	NM_001037317.2	NP_001032394.1
PLPPR4	PLPPR4	NM_014839.5	NP_055654.3
PALMD	PALMD	NM_017734.5	NP_060204.1
FRRS1	FRRS1	NM_001361041.2	NP_001347970.1
AGL	AGL	NM_000642.3	NP_000633.2
SLC35A3	SLC35A3	NM_012243.3	NP_036375.1
MFSD14A	MFSD14A	NM_033055.3	NP_149044.2
SASS6	SASS6	NM_194292.3	NP_919268.1
TRMT13	TRMT13	NM_019083.3	NP_061956.2
LRRC39	LRRC39	NM_144620.4	NP_653221.1
DBT	DBT	NM_001918.5	NP_001909.4
RTCA	RTCA	NM_003729.4	NP_003720.1
CDC14A	CDC14A	NM_003672.4	NP_003663.2
GPR88	GPR88	NM_022049.3	NP_071332.2
VCAM1	VCAM1	NM_001078.4	NP_001069.1
EXTL2	EXTL2	NM_001033025.3	NP_001028197.1
SLC30A7	SLC30A7	NM_133496.5	NP_598003.2
DPH5	DPH5	NM_015958.3	NP_057042.2
S1PR1	S1PR1	NM_001400.5	NP_001391.2
OLFM3	OLFM3	NM_058170.4	NP_477518.2
COL11A1	COL11A1	NM_001854.4	NP_001845.3
RNPC3	RNPC3	NM_017619.4	NP_060089.1
AMY2B	AMY2B	NM_001387437.1	NP_001374366.1
AMY2A	AMY2A	NM_000699.4	NP_000690.1
AMY1A	AMY1A	NM_004038.4	NP_004029.2
AMY1B	AMY1B	NM_001008218.2	NP_001008219.1
AMY1C	AMY1C	NM_001008219.3	NP_001008220.1
PRMT6	PRMT6	NM_018137.3	NP_060607.2
NTNG1	NTNG1	NM_001113226.3	NP_001106697.1
VAV3	VAV3	NM_006113.5	NP_006104.4
SLC25A24	SLC25A24	NM_013386.5	NP_037518.3
NBPF4	NBPF4	NM_001143989.3	NP_001137461.1
NBPF6	NBPF6	NM_001143988.2	NP_001137460.1
EEIG2	EEIG2	NM_001010883.3	NP_001010883.2
HENMT1	HENMT1	NM_001102592.2	NP_001096062.1
PRPF38B	PRPF38B	NM_018061.4	NP_060531.2
FNDC7	FNDC7	NM_001144937.3	NP_001138409.1
STXBP3	STXBP3	NM_007269.4	NP_009200.2
AKNAD1	AKNAD1	NM_152763.5	NP_689976.2
GPSM2	GPSM2	NM_013296.5	NP_037428.3
CLCC1	CLCC1	NM_001377458.1	NP_001364387.1
WDR47	WDR47	NM_001142551.2	NP_001136023.1
TAF13	TAF13	NM_005645.4	NP_005636.1
TMEM167B	TMEM167B	NM_020141.4	NP_064526.1
CFAP276	CFAP276	NM_001245025.3	NP_001231954.1
ELAPOR1	ELAPOR1	NM_020775.5	NP_065826.3
SARS1	SARS1	NM_006513.4	NP_006504.2
CELSR2	CELSR2	NM_001408.3	NP_001399.1
PSRC1	PSRC1	NM_001032291.3	NP_001027462.1
MYBPHL	MYBPHL	NM_001010985.3	NP_001010985.2
SORT1	SORT1	NM_002959.7	NP_002950.3
PSMA5	PSMA5	NM_002790.4	NP_002781.2
SYPL2	SYPL2	NM_001040709.2	NP_001035799.1
ATXN7L2	ATXN7L2	NM_001350175.2	NP_001337104.1
CYB561D1	CYB561D1	NM_182580.3	NP_872386.1
AMIGO1	AMIGO1	NM_020703.4	NP_065754.2
GPR61	GPR61	NM_001393907.1	NP_001380836.1
GNAI3	GNAI3	NM_006496.4	NP_006487.1
GNAT2	GNAT2	NM_001377295.2	NP_001364224.1
AMPD2	AMPD2	NM_001368809.2	NP_001355738.1
GSTM4	GSTM4	NM_000850.5	NP_000841.1
GSTM2	GSTM2	NM_000848.4	NP_000839.1
GSTM1	GSTM1	NM_000561.4	NP_000552.2
GSTM5	GSTM5	NM_000851.4	NP_000842.2
GSTM3	GSTM3	NM_000849.5	NP_000840.2
EPS8L3	EPS8L3	NM_133181.4	NP_573444.2
CSF1	CSF1	NM_000757.6	NP_000748.4
AHCYL1	AHCYL1	NM_006621.7	NP_006612.2
STRIP1	STRIP1	NM_033088.4	NP_149079.2
ALX3	ALX3	NM_006492.3	NP_006483.2
UBL4B	UBL4B	NM_203412.2	NP_981957.1
SLC6A17	SLC6A17	NM_001010898.4	NP_001010898.1
KCNC4	KCNC4	NM_001039574.3	NP_001034663.1
RBM15	RBM15	NM_022768.5	NP_073605.4
SLC16A4	SLC16A4	NM_004696.3	NP_004687.1
LAMTOR5	LAMTOR5	NM_001382293.1	NP_001369222.1
PROK1	PROK1	NM_032414.3	NP_115790.1
KCNA10	KCNA10	NM_005549.2	NP_005540.1
KCNA2	KCNA2	NM_004974.4	NP_004965.1
KCNA3	KCNA3	NM_002232.5	NP_002223.3
CD53	CD53	NM_000560.4	NP_000551.1
LRIF1	LRIF1	NM_018372.4	NP_060842.3
DRAM2	DRAM2	NM_001349884.2	NP_001336813.1
CEPT1	CEPT1	NM_006090.5	NP_006081.1
DENND2D	DENND2D	NM_024901.5	NP_079177.2
CHI3L2	CHI3L2	NM_004000.3	NP_003991.2
CHIA	CHIA	NM_201653.4	NP_970615.2
PIFO	PIFO	NM_181643.6	NP_857594.2
OVGP1	OVGP1	NM_002557.4	NP_002548.3
WDR77	WDR77	NM_024102.4	NP_077007.1
ATP5PB	ATP5PB	NM_001688.5	NP_001679.2
C1orf162	C1orf162	NM_001300834.2	NP_001287763.1
